colocação,jogador,escalações,rodada,ano
1,Rodriguinho (CRU),2301719,1,2019
2,Luan (ATL),1739290,1,2019
3,Fagner (COR),1429926,1,2019
4,Pedro Geromel (GRE),1325520,1,2019
5,Alexandre Pato (SAO),1320655,1,2019
6,Ricardo Oliveira (ATL),1308276,1,2019
7,Guga (ATL),1256382,1,2019
8,Antony (SAO),1228398,1,2019
9,Bruno Henrique (FLA),1190283,1,2019
10,Cuéllar (FLA),1066723,1,2019
11,Bruno Alves (SAO),1064599,1,2019
12,Everton (GRE),1032570,1,2019
13,Luciano (FLU),1009242,1,2019
14,Tiago Nunes (ATL),922555,1,2019
15,Tiago Volpi (SAO),879032,1,2019
16,Arboleda (SAO),842942,1,2019
17,Fred (CRU),775477,1,2019
18,Fábio Santos (ATL),761134,1,2019
19,Santos (ATL),753961,1,2019
20,Nino (FLU),747075,1,2019
1,Fred (CRU),3330952,2,2019
2,Fagner (COR),2728812,2,2019
3,Pedro Geromel (GRE),1424746,2,2019
4,Sornoza (COR),1367761,2,2019
5,Everton (GRE),1366490,2,2019
6,Cássio (COR),1233928,2,2019
7,Mano Menezes (CRU),1145621,2,2019
8,Victor Ferraz (SAN),1089792,2,2019
9,Dedé (CRU),1083868,2,2019
10,Cuéllar (FLA),1071573,2,2019
11,Manoel (COR),976195,2,2019
12,Fábio (CRU),965402,2,2019
13,Léo (CRU),957137,2,2019
14,Alexandre Pato (SAO),947946,2,2019
15,Rodriguinho (CRU),877852,2,2019
16,Jean Mota (SAN),852575,2,2019
17,Bruno Henrique (FLA),819964,2,2019
18,Edílson (CRU),804384,2,2019
19,Gustavo Henrique (SAN),792080,2,2019
20,Clayson (COR),782371,2,2019
1,Fred (CRU),3129451,3,2019
2,Rodriguinho (CRU),2569155,3,2019
3,Léo (CRU),2067578,3,2019
4,Dedé (CRU),1665996,3,2019
5,Alexandre Pato (SAO),1471332,3,2019
6,Robinho (CRU),1292679,3,2019
7,Victor Ferraz (SAN),1180633,3,2019
8,Egídio (CRU),1135801,3,2019
9,Gatito Fernández (BOT),1128296,3,2019
10,Diego (FLA),1126027,3,2019
11,Gustavo Henrique (SAN),1119278,3,2019
12,Jean Mota (SAN),1108155,3,2019
13,Everton (SAO),1097553,3,2019
14,Cássio (COR),1087447,3,2019
15,Arthur Caíke (BAH),1084385,3,2019
16,Erik (BOT),1003359,3,2019
17,Ramires (BAH),992850,3,2019
18,Mano Menezes (CRU),989784,3,2019
19,Nino Paraíba (BAH),981019,3,2019
20,Ricardo Oliveira (ATL),962868,3,2019
1,Diego (FLA),3162862,4,2019
2,Tchê Tchê (SAO),2044450,4,2019
3,Vitinho (FLA),1435539,4,2019
4,Jorge (SAN),1424425,4,2019
5,Eduardo Sasha (SAN),1404859,4,2019
6,Paolo Guerrero (INT),1266654,4,2019
7,Victor Ferraz (SAN),1259145,4,2019
8,Antony (SAO),1256629,4,2019
9,Pedro (FLU),1122409,4,2019
10,Lucas Veríssimo (SAN),1085046,4,2019
11,Fagner (COR),1057129,4,2019
12,Everton (SAO),962584,4,2019
