Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
Ricardo Bueno (ATA),Ceará,18.52,1,22.7,22.7,14.52,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1,2019,,
Bruno Henrique (ATA),Flamengo,21.51,1,21.0,21.0,11.51,,2.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,1,2019,,
Nikão (MEI),Athlético-PR,19.29,1,18.8,18.8,10.29,5.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,,,1,2019,,
Tiepo (GOL),Chapecoense,13.18,1,17.0,17.0,11.18,,,,1.0,,,,,4.0,,,,,,,,,,1,2019,,
Vanderlei (GOL),Santos,22.69,1,15.7,15.7,5.69,,,,,,,,,6.0,,,,,,1.0,,,1.0,1,2019,,
Marco Ruben (ATA),Athlético-PR,17.83,1,15.7,15.7,7.83,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1,2019,,
Ramiro (MEI),Corinthians,15.54,1,14.4,14.4,7.54,5.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,1,2019,,
Everaldo (ATA),Chapecoense,13.39,1,14.3,14.3,8.39,,2.0,,,1.0,,1.0,,,,,,,,,5.0,,3.0,1,2019,,
Eduardo Sasha (ATA),Santos,12.77,1,13.4,13.4,7.77,4.0,1.0,,,2.0,1.0,,,,,,,,,,3.0,,3.0,1,2019,,
Geuvânio (ATA),Atlético-MG,12.56,1,13.1,13.1,7.56,3.0,,1.0,,7.0,,1.0,,,,,,,,,1.0,,2.0,1,2019,,
Ricardo Oliveira (ATA),Atlético-MG,18.94,1,12.3,12.3,3.94,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1,2019,,
Gabriel (ATA),Flamengo,18.04,1,12.0,12.0,4.04,2.0,1.0,,,4.0,2.0,,,,,,,1.0,,,,,2.0,1,2019,,
Bruno Pacheco (LAT),Chapecoense,12.49,1,12.0,12.0,6.49,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1,2019,,
Marrony (ATA),Vasco,13.11,1,11.9,11.9,6.11,1.0,,1.0,,5.0,3.0,2.0,,,,,,,,,2.0,,3.0,1,2019,,
Tadeu (GOL),Goiás,11.73,1,11.9,11.9,6.73,,,,1.0,1.0,,,,,1.0,,,,,,,,2.0,1,2019,,
Everton (ATA),Grêmio,16.37,1,10.6,10.6,3.37,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,1,2019,,
Cuéllar (MEI),Flamengo,12.63,1,10.2,10.2,4.63,7.0,,,,,1.0,,,,,,,,,,1.0,,2.0,1,2019,,
Clayson (ATA),Corinthians,11.86,1,10.1,10.1,4.86,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,3.0,1,2019,,
Alexander (GOL),Vasco,8.33,1,10.0,10.0,6.33,,,,,,,,,6.0,,,,,,4.0,,,,1,2019,,
Ramires (MEI),Bahia,14.36,1,9.7,9.7,3.36,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1,2019,,
Fábio Santos (LAT),Atlético-MG,12.77,1,9.4,9.4,3.77,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Felipe Jonatan (LAT),Santos,9.99,1,9.4,9.4,4.99,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,1,2019,,
Luiz Otávio (ZAG),Ceará,11.38,1,9.4,9.4,4.38,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Samuel Xavier (LAT),Ceará,11.86,1,9.1,9.1,3.86,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,1,2019,,
Pedro Rocha (ATA),Cruzeiro,12.56,1,9.1,9.1,3.56,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019,,
Jean Lucas (MEI),Santos,8.95,1,8.9,8.9,4.95,2.0,,1.0,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2019,,
Willian Arão (MEI),Flamengo,11.73,1,8.9,8.9,3.73,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Enderson Moreira (TEC),Ceará,10.27,1,8.81,8.81,4.27,,,,,,,,,,,,,,,,,,,1,2019,,
Leandro Carvalho (ATA),Ceará,11.45,1,8.5,8.5,3.45,,1.0,,,,1.0,,,,,,,,,,,,1.0,1,2019,,
Kevin (LAT),Goiás,6.52,1,8.4,8.4,5.52,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019,,
Everton Ribeiro (MEI),Flamengo,15.54,1,8.4,8.4,1.54,2.0,,1.0,,3.0,,,,,,,,,,,1.0,,2.0,1,2019,,
Moisés (LAT),Bahia,11.24,1,8.2,8.2,3.24,5.0,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019,,
Eduardo (LAT),Chapecoense,9.85,1,8.2,8.2,3.85,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1,2019,,
Gilberto (ATA),Bahia,14.71,1,8.2,8.2,1.71,2.0,,1.0,,1.0,,1.0,,,,,,,,,3.0,,,1,2019,,
Bruno Guimarães (MEI),Athlético-PR,12.63,1,8.2,8.2,2.63,,1.0,,,4.0,,,,,,,,,,,3.0,,1.0,1,2019,,
Pedro Geromel (ZAG),Grêmio,12.49,1,8.0,8.0,2.49,5.0,,,,1.0,,,,,,,,,,,,,,1,2019,,
