Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Ricardo Bueno (ATA),Ceará,1852,1,2270.0,2270.0,1452.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1,2019
Bruno Henrique (ATA),Flamengo,2151,1,2100.0,2100.0,1151.0,,2.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,1,2019
Nikão (MEI),Athlético-PR,1929,1,1880.0,1880.0,1029.0,5.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,,,1,2019
Tiepo (GOL),Chapecoense,1318,1,1700.0,1700.0,1118.0,,,,1.0,,,,,4.0,,,,,,,,,,1,2019
Vanderlei (GOL),Santos,2269,1,1570.0,1570.0,569.0,,,,,,,,,6.0,,,,,,1.0,,,1.0,1,2019
Marco Ruben (ATA),Athlético-PR,1783,1,1570.0,1570.0,783.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1,2019
Ramiro (MEI),Corinthians,1554,1,1440.0,1440.0,754.0,5.0,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,1,2019
Everaldo (ATA),Chapecoense,1339,1,1430.0,1430.0,839.0,,2.0,,,1.0,,1.0,,,,,,,,,5.0,,3.0,1,2019
Eduardo Sasha (ATA),Santos,1277,1,1340.0,1340.0,777.0,4.0,1.0,,,2.0,1.0,,,,,,,,,,3.0,,3.0,1,2019
Geuvânio (ATA),Atlético-MG,1256,1,1310.0,1310.0,756.0,3.0,,1.0,,7.0,,1.0,,,,,,,,,1.0,,2.0,1,2019
Ricardo Oliveira (ATA),Atlético-MG,1894,1,1230.0,1230.0,394.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1,2019
Gabriel (ATA),Flamengo,1804,1,1200.0,1200.0,404.0,2.0,1.0,,,4.0,2.0,,,,,,,1.0,,,,,2.0,1,2019
Bruno Pacheco (LAT),Chapecoense,1249,1,1200.0,1200.0,649.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1,2019
Marrony (ATA),Vasco,1311,1,1190.0,1190.0,611.0,1.0,,1.0,,5.0,3.0,2.0,,,,,,,,,2.0,,3.0,1,2019
Tadeu (GOL),Goiás,1173,1,1190.0,1190.0,673.0,,,,1.0,1.0,,,,,1.0,,,,,,,,2.0,1,2019
Everton (ATA),Grêmio,1637,1,1060.0,1060.0,337.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,1,2019
Cuéllar (MEI),Flamengo,1263,1,1020.0,1020.0,463.0,7.0,,,,,1.0,,,,,,,,,,1.0,,2.0,1,2019
Clayson (ATA),Corinthians,1186,1,1010.0,1010.0,486.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,3.0,1,2019
Alexander (GOL),Vasco,833,1,1000.0,1000.0,633.0,,,,,,,,,6.0,,,,,,4.0,,,,1,2019
Ramires (MEI),Bahia,1436,1,970.0,970.0,336.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1,2019
Fábio Santos (LAT),Atlético-MG,1277,1,940.0,940.0,377.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1,2019
Felipe Jonatan (LAT),Santos,999,1,940.0,940.0,499.0,,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,1,2019
Luiz Otávio (ZAG),Ceará,1138,1,940.0,940.0,438.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,1,2019
Samuel Xavier (LAT),Ceará,1186,1,910.0,910.0,386.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,1,2019
Pedro Rocha (ATA),Cruzeiro,1256,1,910.0,910.0,356.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,3.0,1,2019
Jean Lucas (MEI),Santos,895,1,890.0,890.0,495.0,2.0,,1.0,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2019
Willian Arão (MEI),Flamengo,1173,1,890.0,890.0,373.0,3.0,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,1,2019
Enderson Moreira (TEC),Ceará,1027,1,881.0,881.0,427.0,,,,,,,,,,,,,,,,,,,1,2019
Leandro Carvalho (ATA),Ceará,1145,1,850.0,850.0,345.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1,2019
Kevin (LAT),Goiás,652,1,840.0,840.0,552.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,3.0,1,2019
Everton Ribeiro (MEI),Flamengo,1554,1,840.0,840.0,154.0,2.0,,1.0,,3.0,,,,,,,,,,,1.0,,2.0,1,2019
Moisés (LAT),Bahia,1124,1,820.0,820.0,324.0,5.0,,,,,1.0,1.0,,,,,,,,,2.0,,1.0,1,2019
Eduardo (LAT),Chapecoense,985,1,820.0,820.0,385.0,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1,2019
Gilberto (ATA),Bahia,1471,1,820.0,820.0,171.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,3.0,,,1,2019
Bruno Guimarães (MEI),Athlético-PR,1263,1,820.0,820.0,263.0,,1.0,,,4.0,,,,,,,,,,,3.0,,1.0,1,2019
