mandante,visitante,placar_mandante,placar_visitante,data,local,rodada,ano
São Paulo,Botafogo,2,0,"SÁB, 27/04 16:00",Morumbi,1,2019
Atlético-MG,Avaí,2,1,"SÁB, 27/04 19:00",Independência,1,2019
Chapecoense,Internacional,2,0,"SÁB, 27/04 19:00",Arena Condá,1,2019
Flamengo,Cruzeiro,3,1,"SÁB, 27/04 21:00",Maracanã,1,2019
Grêmio,Santos,1,2,"DOM, 28/04 11:00",Arena do Grêmio,1,2019
Ceará,CSA,4,0,"DOM, 28/04 16:00",Castelão (CE),1,2019
Bahia,Corinthians,3,2,"DOM, 28/04 16:00",Fonte Nova,1,2019
Athlético-PR,Vasco,4,1,"DOM, 28/04 16:00",Arena da Baixada,1,2019
Palmeiras,Fortaleza,4,0,"DOM, 28/04 19:00",Arena Palmeiras,1,2019
Fluminense,Goiás,0,1,"DOM, 28/04 19:00",Maracanã,1,2019
Internacional,Flamengo,2,1,"QUA, 01/05 16:00",Beira-Rio,2,2019
Corinthians,Chapecoense,1,0,"QUA, 01/05 16:00",Arena Corinthians,2,2019
CSA,Palmeiras,1,1,"QUA, 01/05 16:00",Rei Pelé,2,2019
Cruzeiro,Ceará,1,0,"QUA, 01/05 19:15",Mineirão,2,2019
Avaí,Grêmio,1,1,"QUA, 01/05 19:15",Ressacada,2,2019
Fortaleza,Athlético-PR,2,1,"QUA, 01/05 21:30",Castelão (CE),2,2019
Vasco,Atlético-MG,1,2,"QUA, 01/05 21:30",São Januário,2,2019
Goiás,São Paulo,1,2,"QUA, 01/05 21:30",Serra Dourada,2,2019
Santos,Fluminense,2,1,"QUI, 02/05 19:15",Vila Belmiro,2,2019
Botafogo,Bahia,3,2,"QUI, 02/05 20:00",Engenhão,2,2019
Palmeiras,Internacional,1,0,"SÁB, 04/05 19:00",Arena Palmeiras,3,2019
Vasco,Corinthians,1,1,"SÁB, 04/05 19:00",Arena da Amazônia,3,2019
Ceará,Atlético-MG,1,2,"SÁB, 04/05 21:00",Castelão (CE),3,2019
Chapecoense,Athlético-PR,1,1,"DOM, 05/05 11:00",Arena Condá,3,2019
Cruzeiro,Goiás,2,1,"DOM, 05/05 16:00",Mineirão,3,2019
São Paulo,Flamengo,1,1,"DOM, 05/05 16:00",Morumbi,3,2019
Botafogo,Fortaleza,1,0,"DOM, 05/05 16:00",Engenhão,3,2019
CSA,Santos,0,0,"DOM, 05/05 16:00",Rei Pelé,3,2019
Grêmio,Fluminense,4,5,"DOM, 05/05 19:00",Arena do Grêmio,3,2019
Bahia,Avaí,1,0,"DOM, 05/05 19:00",Fonte Nova,3,2019
Fluminense,Botafogo,0,1,"SÁB, 11/05 16:00",Maracanã,4,2019
Corinthians,Grêmio,0,0,"SÁB, 11/05 19:00",Arena Corinthians,4,2019
Goiás,Ceará,2,1,"SÁB, 11/05 21:00",Serra Dourada,4,2019
Flamengo,Chapecoense,2,1,"DOM, 12/05 11:00",Maracanã,4,2019
Internacional,Cruzeiro,3,1,"DOM, 12/05 16:00",Beira-Rio,4,2019
Atlético-MG,Palmeiras,0,2,"DOM, 12/05 16:00",Mineirão,4,2019
Santos,Vasco,3,0,"DOM, 12/05 16:00",Pacaembu,4,2019
Fortaleza,São Paulo,0,1,"DOM, 12/05 19:00",Castelão (CE),4,2019
Avaí,CSA,0,0,"DOM, 12/05 19:00",Ressacada,4,2019
Athlético-PR,Bahia,1,0,"DOM, 12/05 19:00",Arena da Baixada,4,2019
Fluminense,Cruzeiro,4,1,"SÁB, 18/05 18:00",Maracanã,5,2019
Atlético-MG,Flamengo,2,1,"SÁB, 18/05 19:00",Independência,5,2019
Palmeiras,Santos,4,0,"SÁB, 18/05 19:00",Pacaembu,5,2019
São Paulo,Bahia,0,0,"DOM, 19/05 11:00",Morumbi,5,2019
Internacional,CSA,2,0,"DOM, 19/05 16:00",Beira-Rio,5,2019
Chapecoense,Fortaleza,1,3,"DOM, 19/05 16:00",Arena Condá,5,2019
Goiás,Botafogo,1,0,"DOM, 19/05 16:00",Serra Dourada,5,2019
Athlético-PR,Corinthians,0,2,"DOM, 19/05 16:00",Arena da Baixada,5,2019
Ceará,Grêmio,2,1,"DOM, 19/05 19:00",Castelão (CE),5,2019
Vasco,Avaí,1,1,"DOM, 19/05 19:00",São Januário,5,2019
Botafogo,Palmeiras,0,1,"SÁB, 25/05 16:00",Mané Garrincha,6,2019
Grêmio,Atlético-MG,1,0,"SÁB, 25/05 19:00",Arena do Grêmio,6,2019
Santos,Internacional,0,0,"DOM, 26/05 16:00",Vila Belmiro,6,2019
Flamengo,Athlético-PR,3,2,"DOM, 26/05 16:00",Maracanã,6,2019
Cruzeiro,Chapecoense,1,2,"DOM, 26/05 19:00",Independência,6,2019
Fortaleza,Vasco,1,1,"DOM, 26/05 19:00",Castelão (CE),6,2019
Corinthians,São Paulo,1,0,"DOM, 26/05 19:00",Arena Corinthians,6,2019
Bahia,Fluminense,3,2,"DOM, 26/05 19:00",Fonte Nova,6,2019
Avaí,Ceará,1,2,"SEG, 27/05 20:00",Ressacada,6,2019
CSA,Goiás,1,0,"SEG, 27/05 20:00",Rei Pelé,6,2019
Flamengo,Fortaleza,2,0,"SÁB, 01/06 16:00",Engenhão,7,2019
Bahia,Grêmio,1,0,"SÁB, 01/06 19:00",Pituaçu,7,2019
Corinthians,Goiás,,,"SÁB, 01/06 21:00",Arena Corinthians* (Partida não válida para a rodada),7,2019
Botafogo,Vasco,1,0,"DOM, 02/06 11:00",Engenhão,7,2019
Ceará,Santos,0,1,"DOM, 02/06 16:00",Castelão (CE),7,2019
São Paulo,Cruzeiro,1,1,"DOM, 02/06 16:00",Pacaembu,7,2019
Athlético-PR,Fluminense,3,0,"DOM, 02/06 16:00",Arena da Baixada,7,2019
Internacional,Avaí,2,0,"DOM, 02/06 19:00",Beira-Rio,7,2019
Atlético-MG,CSA,4,0,"DOM, 02/06 19:00",Independência,7,2019
Chapecoense,Palmeiras,1,2,"DOM, 02/06 19:00",Arena Condá,7,2019
Vasco,Internacional,2,1,"SEX, 07/06 20:30",São Januário,8,2019
Palmeiras,Athlético-PR,1,0,"SÁB, 08/06 16:30",Arena Palmeiras,8,2019
Grêmio,Fortaleza,1,0,"SÁB, 08/06 19:00",Centenário,8,2019
